station_a,station_b,mileage
朱家沟,柴河,21
林口,朱家沟,65
西麻山,林口,30
鸡西,西麻山,54
鸡东,鸡西,16
黑台,鸡东,44
密山,黑台,27
克山,北安,56
依安,克山,46
富海,依安,33
富裕,富海,33
塔哈,富裕,33
齐齐哈尔,塔哈,30
三间房,齐齐哈尔,30
汤池,三间房,13
江桥,汤池,25
平洋,江桥,22
泰来,平洋,26
大兴,江桥,13
汤池,大兴,12
嵯岗,海拉尔,125
扎赉诺尔西,嵯岗,38
灯塔,辽阳,22
苏家屯,灯塔,26
水洞,通化,16
菇园,水洞,14
道清,菇园,8
老营,道清,6
白山市,老营,16
安平,辽阳,36
寒岭,安平,12
本溪,寒岭,25
布海,长春,61
德惠,布海,20
达家沟,德惠,16
姚家,达家沟,16
陶赖昭,姚家,10
榆树,陶赖昭,56
刘家店,榆树,21
五棵树,刘家店,12
陶赖昭,五棵树,23
沃皮,布海,18
米沙子,沃皮,161
通辽,阜新南,256
甘旗卡,通辽,76
彰武,甘旗卡,67
新立屯,彰武,52
石桥子,本溪,25
姚千户屯,石桥子,13
陈相屯,姚千户屯,11
吴家屯,陈相屯,10
苏家屯,吴家屯,10
神头,岱岳,31
朔州,神头,13
平遥,太谷,45
临汾,介休,135
运城,侯马,78
永济,运城,56
风陵渡,永济,37
轩岗,原平,37
宁武,轩岗,28
闻喜,运城,43
侯马,闻喜,35
襄汾,侯马,34
临汾,襄汾,26
东镇,闻喜,12
侯马,东镇,23
张兰,平遥,11
介休,张兰,20
阳曲,忻州,59
太原东,阳曲,26
汾河,太原东,9
古东,汾河,37
古交,古东,7
镇城底,古交,10
娄烦,镇城底,24
岚县,娄烦,32
白文东,岚县,53
蔡家崖,白文东,49
平旺,大同,10
怀仁,平旺,32
朔州,怀仁,87
怀仁,神头,74
豆罗,忻州,15
平社,豆罗,13
高村,平社,16
阳曲,高村,15
清徐,太原南,53
交城,清徐,11
文水,交城,14
汾阳,文水,17
吕梁,汾阳,82
柳林南,吕梁,21
汝州,洛阳,92
南阳,汝州,164
南召,南阳,58
鲁山,南召,44
汝州,鲁山,62
洛阳东,洛阳,5
汝州,洛阳东,87
宝丰,汝州,42
鲁山,宝丰,20
南阳,邓州,56
临邑,陵城,24
商河,临邑,27
阳信,商河,49
滨州,阳信,40
利津南,滨州,15
东营,利津南,31
博兴,东营,47
淄博,博兴,44
济南,淄博,110
枣庄东,枣庄西,31
兰陵北,枣庄东,49
临沂,兰陵北,55
日照,临沂,134
巨野,菏泽,58
嘉祥,巨野,25
济宁,嘉祥,24
泗水,兖州,54
临沂,泗水,128
胶州,临沂,229
莱阳,胶州,99
桃村,莱阳,51
烟台,桃村,54
徐家店,桃村,19
莱阳,徐家店,32
莱西,莱阳,23
蓝村,莱西,55
胶州,蓝村,21
诸城,胶州,64
莒县,诸城,75
沂水,莒县,10
沂南,沂水,20
临沂,沂南,60
曲阜,平邑,64
菏泽,嘉祥,83
蓝村,青岛,52
兖州,临沂,182
文登,威海,35
乳山,文登,52
桃村,乳山,51
曲阜,临沂,151
临沂,平邑,87
莒县,临沂,90
五莲,莒县,40
诸城,五莲,35
莱阳,蓝村,78
莱阳,烟台,105
扶绥,南宁,55
渠旧,扶绥,39
濑湍,渠旧,12
崇左,濑湍,16
亭亮,崇左,37
宁明,亭亮,18
凭祥,宁明,43
崇左,扶绥,67
宁明,崇左,55
宜州,金城江,70
柳州,宜州,91
来宾,柳州,70
贵港,来宾,119
兴业,贵港,56
玉林,兴业,33
文地,玉林,79
河唇,文地,35
廉江,河唇,9
遂溪,廉江,25
湛江,遂溪,27
廉江,湛江,52
文地,廉江,44
石河子,乌鲁木齐,135
沙湾县,石河子,38
奎屯,沙湾县,59
博乐,奎屯,206
阿拉山口,博乐,28
英吉沙,喀什,66
莎车,英吉沙,121
昆玉,莎车,239
墨玉,昆玉,42
和田,墨玉,17
皮山,昆玉,99
泽普,皮山,117
莎车,泽普,23
喀什,莎车,187
阿克陶,喀什,38
英吉沙,阿克陶,28
霍城,伊宁,39
霍尔果斯,霍城,34
黄州,麻城,67
浠水,黄州,29
蕲春,浠水,30
武穴,蕲春,39
九江,武穴,58
寿阳,榆次,54
阳泉,寿阳,38
岩会,阳泉,20
娘子关,岩会,19
南峪,娘子关,7
井南,南峪,9
井陉,井南,14
石家庄北,井陉,37
玉舍,六盘水,23
白鸡坡,玉舍,9
都格,白鸡坡,9
发耳,都格,9
营街,发耳,9
茅草坪,营街,12
三家寨,茅草坪,19
雨格,三家寨,10
松河,雨格,8
柏果,松河,15
月亮田,柏果,10
盘关,月亮田,4
平田,盘关,7
花家庄,平田,6
沙沱,花家庄,9
红果,沙沱,7
平关,红果,18
富源,平关,11
羊尾哨,富源,9
车转湾,羊尾哨,10
白水镇,车转湾,16
平河口,白水镇,8
白沙坡,平河口,7
曲靖,白沙坡,25
马龙,曲靖,19
吴官田,马龙,10
照福铺,吴官田,19
小新街,照福铺,33
杨林,小新街,18
小哨,杨林,17
昆明,小哨,41
秦岭,宝鸡,45
凤州,秦岭,46
凤县,凤州,17
宏庆,凤县,12
两当,宏庆,15
徽县,两当,16
白水江,徽县,23
略阳,白水江,41
阳平关,略阳,56
燕子砭,阳平关,12
朝天南,燕子砭,40
广元,朝天南,27
宣汉,达州,48
毛坝,宣汉,12
万源,毛坝,65
高滩,万源,69
紫阳,高滩,25
大竹园,紫阳,21
安康,大竹园,36
姚渡,广元,54
陇南,姚渡,85
哈达铺,陇南,129
岷县,哈达铺,25
漳县,岷县,38
渭源,漳县,44
兰州,渭源,134
千河,宝鸡,27
千阳,千河,36
陇县,千阳,37
安口窑,陇县,54
平凉,安口窑,49
迤资,攀枝花,10
拉鲊,迤资,12
花棚子,拉鲊,13
新江,花棚子,14
师庄,新江,8
大湾子,师庄,11
红江,大湾子,13
黄瓜园,红江,10
元谋,黄瓜园,11
尹地,元谋,13
小月旧,尹地,6
羊臼河,小月旧,10
小村,羊臼河,10
阿南庄,小村,11
龙骨甸,阿南庄,11
黑井,龙骨甸,8
甸心,黑井,5
龙塘坝,甸心,9
广通北,龙塘坝,13
禄丰南,广通北,54
昆明,禄丰南,99
孟家岗,佳木斯,54
桦南,孟家岗,22
拉林,五常,42
牛家,拉林,18
周家,牛家,14
平房,周家,16
孙家,平房,13
香坊,孙家,5
哈尔滨,香坊,7
背荫河,拉林,11
安家,背荫河,15
五常,安家,16
哈尔滨东,孙家,17
徐家,哈尔滨东,31
呼兰,徐家,10
沈家,呼兰,15
康金井,沈家,12
石人城,康金井,13
白奎堡,石人城,13
兴隆镇,白奎堡,12
万发屯,兴隆镇,11
绥化,万发屯,17
兴隆镇,绥化,28
康金井,白奎堡,26
阿城,哈尔滨东,46
尚志,小岭,62
富拉尔基,齐齐哈尔,42
昂昂溪,富拉尔基,14
三间房,昂昂溪,14
齐齐哈尔,昂昂溪,28
榆树屯,三间房,8
齐齐哈尔,榆树屯,22
陶家屯,公主岭,21
范家屯,陶家屯,10
大屯,范家屯,11
长春,大屯,20
米沙子,长春,33
张辛,通州西,13
顺义,张辛,14
庙城,顺义,19
怀柔,庙城,4
统军庄,怀柔,10
密云北,统军庄,12
六道河子,密云北,45
前苇塘,六道河子,9
兴隆县,前苇塘,11
北马圈子,兴隆县,14
鹰手营子,北马圈子,7
洞庙河,鹰手营子,4
下台子,洞庙河,6
南湾子,下台子,23
新杖子,南湾子,8
西大庙,新杖子,10
上板城南,西大庙,7
上板城,上板城南,3
承德东,上板城,9
承德,承德东,10
高各庄,庙城,4
顺义,高各庄,15
下台子,鹰手营子,10
潘家店,南湾子,8
下台子,潘家店,15
大灰厂,北京西,29
上万,大灰厂,9
南观村,上万,9
燕山,南观村,3
良各庄,燕山,4
孤山口,良各庄,13
云居寺,孤山口,6
三合庄,云居寺,8
十渡,三合庄,11
平峪,十渡,5
野三坡,平峪,9
百里峡,野三坡,9
福山口,百里峡,6
白涧,福山口,7
板城,白涧,5
南城司,板城,8
奇峰塔,南城司,8
紫荆关,奇峰塔,8
大盘石,紫荆关,8
塔崖驿,大盘石,8
王安镇,塔崖驿,6
浮图峪,王安镇,12
北屯,浮图峪,6
涞源,北屯,7
小西庄,涞源,10
艾河,小西庄,9
招柏,艾河,12
云彩岭,招柏,7
大涧,云彩岭,8
友好,伊春,18
红山,友好,25
五营,红山,32
红星,五营,20
新青,红星,13
汤旺河,新青,23
乌伊岭,汤旺河,22
三原,咸阳,46
阎良,三原,26
张桥,阎良,20
钟家村,张桥,11
蒲城,钟家村,19
孙镇,蒲城,20
黄陵,孙镇,108
甘泉北,黄陵,80
延安,甘泉北,40
子长,延安,84
清涧县,子长,24
绥德,清涧县,59
米脂,绥德,25
榆林,米脂,77
黄陵,延安,120
南仇,淄博,31
黑旺,南仇,16
源迁,黑旺,30
南博山,源迁,10
常庄,南博山,7
莱芜东,常庄,34
蔺家楼,莱芜东,13
司家岭,蔺家楼,9
范镇,司家岭,7
燕家庄,范镇,11
上高镇,燕家庄,9
泰山,上高镇,7
猛洞河,张家界,74
吉首,猛洞河,51
麻阳,吉首,59
怀化,麻阳,44
慈利,张家界,76
石门县北,慈利,42
澧县,石门县北,35
会同,怀化,90
靖州,会同,39
通道,靖州,31
塘豹,通道,14
娄底,益阳,112
涟源,娄底,42
冷水江东,涟源,30
新化,冷水江东,21
安化,新化,47
低庄,安化,67
溆浦,低庄,4
辰溪,溆浦,66
怀化,辰溪,54
怀化,新晃,87
通安驿,陇西,40
定西,通安驿,44
李家坪,定西,37
甘草店,李家坪,23
许家台,甘草店,15
夏官营,许家台,6
兰州东,夏官营,32
兰州,兰州东,5
夏官营,兰州,37
清水县,张家川,33
天水,清水县,35
南河川,天水,18
三阳川,南河川,8
渭南镇,三阳川,8
新阳镇,渭南镇,11
甘谷,新阳镇,22
磐安镇,甘谷,19
洛门,磐安镇,10
武山,洛门,11
贺家店,武山,9
鸳鸯镇,贺家店,10
陇西,鸳鸯镇,20
陈官营,兰州西,8
西固城,陈官营,7
坡底下,西固城,10
河口南,坡底下,7
龙泉寺,河口南,40
永登,龙泉寺,29
天祝,永登,34
打柴沟,天祝,21
龙沟,打柴沟,58
古浪,龙沟,20
黄羊镇,古浪,25
武威南,黄羊镇,21
武威,武威南,13
金昌,武威,74
玉石,金昌,28
芨岭,玉石,18
山丹,芨岭,71
张掖,山丹,53
平原堡,张掖,19
临泽,平原堡,18
高台,临泽,35
许三湾,高台,33
清水,许三湾,32
酒泉,清水,64
嘉峪关,酒泉,22
营盘水,干塘,21
长城,营盘水,28
景泰,长城,11
兴泉堡,景泰,11
红岘台,兴泉堡,42
红砂岘,红岘台,26
白银西,红砂岘,8
朱家窑,白银西,14
丰水村,朱家窑,8
皋兰,丰水村,15
邵家堂,皋兰,19
水源,邵家堂,8
兰州东,水源,18
水源,兰州,23
泾川,长庆桥,38
平凉南,泾川,54
平凉,平凉南,14
新李,平凉,12
三关口,新李,26
六盘山,三关口,15
彭阳,六盘山,13
固原,彭阳,25
沈家河,固原,9
二营,沈家河,11
三营,二营,16
褚家湾,三营,12
七营,褚家湾,12
韩府湾,七营,12
李旺,韩府湾,11
土桥子,李旺,12
王团庄,土桥子,12
同心,王团庄,12
石坝,同心,11
艾家村,石坝,12
长农,艾家村,12
中宁南,长农,13
大战场,中宁南,12
宣和,大战场,12
中卫,宣和,26
大坝,青铜峡,11
黄羊滩,大坝,28
银川,黄羊滩,27
白银市,白银西,7
吴家川,白银市,39
靖远西,吴家川,17
靖远,靖远西,3
东湾,靖远,14
长征,东湾,14
沙坡头,中卫,18
干塘,沙坡头,54
谭家井,干塘,89
黑冲滩,谭家井,24
土门子,黑冲滩,24
园墩,土门子,12
上腰墩,园墩,13
武威南,上腰墩,10
桥西,绿化,14
狼尾山,桥西,35
镜铁山,狼尾山,20
绿化,嘉峪关,5
镜铁山,绿化,69
低窝铺,嘉峪关,110
玉门,低窝铺,22
疏勒河,玉门,23
瓜州,疏勒河,106
敦煌,瓜州,102
哈密,柳园,321
天镇,柴沟堡,48
阳高,天镇,29
商城,固始,22
潢川,商城,41
息县,潢川,31
罗山,息县,27
信阳,罗山,46
潢川,淮滨,55
光山,潢川,17
新县,光山,43
麻城,新县,60
永乐店,咸阳,36
三原,永乐店,10
阳平关,汉中,117
礼泉,咸阳,35
乾县,礼泉,16
永寿,乾县,37
彬州,永寿,43
长武,彬州,44
孝南,介休,17
孝西,孝南,6
白壁关,孝西,5
兑镇,白壁关,13
阳泉曲,兑镇,5
平型关,灵丘,31
东淤地,平型关,10
东庄,东淤地,8
大营,东庄,9
五台山,大营,16
繁峙,五台山,28
下社,繁峙,9
代县,下社,22
阳明堡,代县,12
原平,阳明堡,36
枣林,代县,12
下社,枣林,10
神池,宁武,20
五寨,神池,38
安塘,五寨,19
秦家庄,安塘,6
岢岚,秦家庄,12
定襄,忻州,22
河边,定襄,18
吉林,长春,111
敦化,吉林,156
延吉西,敦化,113
安图西,延吉西,50
敦化,安图西,63
龙嘉,吉林,79
长春,龙嘉,32
蛟河西,吉林,65
敦化,蛟河西,91
图们北,延吉西,10
珲春,图们北,81
长春,长春西,12
大石头南,敦化,20
延吉西,大石头南,93
九台南,吉林,69
龙嘉,九台南,10
双吉,龙嘉,62
吉林,双吉,17
延吉西,珲春,91
蛟河西,安图西,154
延吉西,蛟河西,204
安图西,大石头南,43
吉林,大石头南,176
新民北,彰武,54
沈阳,新民北,59
沈阳,沈阳南,15
沈阳,通辽,256
彰武,沈阳,113
新民北,沈阳北,60
五龙背东,丹东,18
凤城东,五龙背东,27
通远堡西,凤城东,40
本溪,通远堡西,62
本溪新城,本溪,27
沈阳南,本溪新城,34
九台南,长春,42
开安,长春,35
农安,开安,31
松原,农安,84
查干湖,松原,32
大安,查干湖,31
安广,大安,42
白城,安广,78
白城,乌兰浩特,87
大安,白城,120
松原,大安,63
长春,农安,66
长山屯,松原,39
大安,长山屯,24
两家,大安,28
到保,两家,64
白城,到保,28
平台,白城,25
葛根庙,平台,33
哈拉海,农安,28
松原,哈拉海,56
到保,大安,92
白城,葛根庙,58
两家,安广,14
镇西,乌兰浩特,38
平台,镇西,24
松原,长春,150
华家,长春,50
王府,华家,68
松原,王府,32
华家,农安,16
开安,华家,15
农安,王府,52
安广,到保,50
北京南,天津,120
武清,北京南,84
天津,武清,36
军粮城北,天津,20
滨海,军粮城北,25
塘沽,滨海,5
滨海,天津,45
军粮城北,塘沽,20
天津西,北京南,117
武清,天津西,33
新郑机场,郑州东,28
绿博园,郑州东,17
宋城路,绿博园,33
郑州,新郑机场,37
郑州,郑州东,14
焦作,郑州,78
修武西,焦作,20
武陟,修武西,14
黄河景区,武陟,21
南阳寨,黄河景区,15
郑州,南阳寨,8
武陟,郑州,44
焦作,武陟,34
南阳寨,武陟,36
南阳寨,焦作,70
焦作,黄河景区,55
黄河景区,修武西,35
郑州,黄河景区,23
修武西,南阳寨,50
郑州,修武西,58
南湖东,武昌,15
汤逊湖,南湖东,4
庙山,汤逊湖,3
普安,庙山,4
纸坊东,普安,4
乌龙泉南,纸坊东,11
土地堂东,乌龙泉南,5
山坡东,土地堂东,14
贺胜桥东,山坡东,7
横沟桥东,贺胜桥东,10
咸宁东,横沟桥东,9
咸宁南,咸宁东,5
山坡东,咸宁南,31
纸坊东,山坡东,30
庙山,纸坊东,8
武昌,庙山,22
咸宁南,贺胜桥东,24
汤逊湖,武昌,19
横沟桥东,咸宁南,14
纸坊东,横沟桥东,47
咸宁南,纸坊东,61
庙山,南湖东,7
横沟桥东,山坡东,17
汉口,武昌,20
庙山,土地堂东,24
土地堂东,纸坊东,16
咸宁东,贺胜桥东,19
土地堂东,贺胜桥东,21
孝感东,汉口,61
天河机场,孝感东,40
汉口,天河机场,21
毛陈,孝感东,9
天河机场,毛陈,31
闵集,天河机场,15
毛陈,闵集,16
闵集,孝感东,25
金银潭,天河机场,15
汉口,金银潭,6
天河街,天河机场,8
毛陈,天河街,23
槐荫,毛陈,5
孝感东,槐荫,4
天河机场,槐荫,36
后湖,汉口,3
天河机场,后湖,18
天河街,孝感东,32
鄂州,武汉,56
大冶北,鄂州,39
黄石北,大冶北,10
鄂州,黄石北,29
黄冈,武汉,60
黄冈东,黄冈,5
黄冈西,黄冈,6
武汉,黄冈西,54
黄冈西,黄冈东,11
葛店南,黄冈西,25
武汉,葛店南,29
花山南,武汉,14
左岭,花山南,10
葛店南,左岭,5
葛店南,黄冈,31
华容东,葛店南,13
黄冈西,华容东,12
武汉,华容东,42
华容东,左岭,18
武汉,左岭,24
花山南,葛店南,15
黄冈东,葛店南,36
武汉,黄冈东,65
资阳北,成都东,83
资中北,资阳北,41
内江北,资中北,29
隆昌北,内江北,26
重庆西,隆昌北,123
璧山,重庆西,27
大足南,璧山,52
荣昌北,大足南,10
隆昌北,荣昌北,34
成都东,隆昌北,179
重庆北,成都东,319
隆昌北,重庆北,140
资中北,隆昌北,55
犀浦,成都,15
郫县西,犀浦,12
彭州,郫县西,21
彭州南,彭州,5
郫县西,彭州南,16
彭州南,犀浦,28
郫县,彭州南,9
红光镇,郫县,16
犀浦,红光镇,3
步行街,犀浦,30
彭州,步行街,3
红光镇,郫县西,9
犀浦,安靖,7
彭州南,步行街,2
步行街,郫县西,18
犀浦,彭州,33
彭州南,红光镇,25
离堆公园,成都,59
迎宾路,离堆公园,2
红光镇,迎宾路,39
迎宾路,犀浦,42
安德,迎宾路,21
犀浦,安德,21
青城山,犀浦,50
安德,都江堰,21
都江堰,犀浦,42
郫县,青城山,41
犀浦,郫县,9
青城山,都江堰,8
郫县西,都江堰,30
安德,红光镇,18
郫县,都江堰,33
安德,青城山,60
郫县西,青城山,38
郫县西,安德,9
郫县,郫县西,3
都江堰,红光镇,39
红光镇,青城山,47
德阳,成都东,66
江油,德阳,86
广汉北,德阳,20
青白江东,广汉北,14
成都东,青白江东,32
德阳,青白江东,34
新都东,成都东,21
广汉北,新都东,25
青白江东,新都东,11
绵阳,德阳,47
江油,成都东,152
绵阳,成都东,113
绵阳,青白江东,81
江油,绵阳,39
广元,江油,126
罗江东,成都东,87
绵阳,罗江东,26
乐山,成都东,135
峨眉山,乐山,27
彭山北,眉山东,16
双流西,彭山北,40
成都南,双流西,18
新津南,成都东,50
眉山东,新津南,32
成都南,成都东,8
乐山,眉山东,53
峨眉,乐山,22
峨眉山,峨眉,5
青神,乐山,28
眉山东,青神,25
新津南,彭山北,16
新津,新津南,14
双流机场,新津,15
成都东,双流机场,21
双流机场,眉山东,61
成都南,双流机场,13
双流西,双流机场,8
新津,双流西,7
新津南,双流西,24
新津,眉山东,46
彭山北,新津,30
青神,峨眉山,55
双流机场,彭山北,45
眉山东,峨眉山,80
成都东,彭山北,66
眉山东,双流西,114
成都南,眉山东,74
德阳,罗江东,21
绵阳,新都东,92
广元,苍溪,82
剑门关,广元,38
青川,剑门关,18
绵阳,青川,109
新津,成都东,36
